namespace,deployment,labels,image
petclinic-dev,petclinic,app=petclinic app.kubernetes.io/component=petclinic app.kubernetes.io/instance=petclinic archetype-version="1.3" deployment-date="2023-09-08" organization=devcoe product=petclinic,quay.io/pittar/petclinic:log4j
petclinic-uat,petclinic,app=petclinic app.kubernetes.io/component=petclinic app.kubernetes.io/instance=petclinic archetype-version="1.2" deployment-date="2023-09-06" organization=devcoe product=petclinic,quay.io/pittar/petclinic:metrics
